Albània, Albanès
Andorra, Català
Armènia, Armeni
Àustria, Alemany
Azerbaidjan, Azerbaidjanès
Bielorússia, Bielorús
Bòsnia i Hercegovina, Bosnià
Bulgària, Búlgar
Ciutat del Vaticà, Llatí
Croàcia, Croat
Dinamarca, Danès
Eslovàquia, Eslovac
Eslovènia, Eslovè
Espanya, Castellà
Estònia, Estonià
Finlàndia, Finès
França, Francès
Geòrgia, Georgià
Alemanya, Alemany
Grècia, Grec
Hongria, Hongarès
Irlanda, Irlandès
Islàndia, Islandès
Itàlia, Italià
Kazakhstan, Kazakh
Kosovo, Albanès
Letònia, Letó
Liechtenstein, Alemany
Lituània, Lituà
Luxemburg, Luxemburguès
Macedònia del Nord, Macedoni
Malta, Maltès
Moldàvia, Romanès
Montenegro, Montenegrí
Noruega, Noruec
Països Baixos, Neerlandès
Polònia, Polonès
Portugal, Portuguès
Regne Unit, Anglès
República Txeca, Txec
Romania, Romanès
Rússia, Rus
San Marino, Italià
Sèrbia, Serbi
Suècia, Suec
Turquia, Turc
Ucraïna, Ucraïnès
Xipre, Grec
